..........AI : 7.994 s, Game : 2.429 s
Episode 260 avg. reward = 0.100, Long-term avg. reward = 0.075
..........AI : 11.699 s, Game : 3.752 s
Episode 261 avg. reward = 0.900, Long-term avg. reward = 0.084
..........AI : 12.026 s, Game : 3.673 s
Episode 262 avg. reward = 0.900, Long-term avg. reward = 0.092
..........AI : 10.306 s, Game : 3.379 s
Episode 263 avg. reward = 0.700, Long-term avg. reward = 0.098
..........AI : 8.469 s, Game : 2.545 s
Episode 264 avg. reward = 0.100, Long-term avg. reward = 0.098
..........AI : 7.803 s, Game : 2.322 s
Episode 265 avg. reward = 0.000, Long-term avg. reward = 0.097
..........AI : 6.845 s, Game : 2.134 s
Episode 266 avg. reward = -0.100, Long-term avg. reward = 0.095
..........AI : 10.700 s, Game : 3.484 s
Episode 267 avg. reward = 0.800, Long-term avg. reward = 0.102
..........AI : 14.880 s, Game : 4.882 s
Episode 268 avg. reward = 1.600, Long-term avg. reward = 0.117
..........AI : 16.824 s, Game : 5.407 s
Episode 269 avg. reward = 2.100, Long-term avg. reward = 0.137
..........AI : 10.188 s, Game : 3.259 s
Episode 270 avg. reward = 0.600, Long-term avg. reward = 0.141
..........AI : 6.588 s, Game : 2.155 s
Episode 271 avg. reward = -0.200, Long-term avg. reward = 0.138
..........AI : 10.317 s, Game : 3.410 s
Episode 272 avg. reward = 0.700, Long-term avg. reward = 0.144
..........AI : 6.603 s, Game : 2.064 s
Episode 273 avg. reward = -0.300, Long-term avg. reward = 0.139
..........AI : 9.786 s, Game : 3.178 s
Episode 274 avg. reward = 0.600, Long-term avg. reward = 0.144
..........AI : 10.775 s, Game : 3.411 s
Episode 275 avg. reward = 0.700, Long-term avg. reward = 0.149
..........AI : 8.847 s, Game : 2.936 s
Episode 276 avg. reward = 0.300, Long-term avg. reward = 0.151
..........AI : 11.111 s, Game : 3.677 s
Episode 277 avg. reward = 0.800, Long-term avg. reward = 0.157
..........AI : 9.163 s, Game : 2.952 s
Episode 278 avg. reward = 0.400, Long-term avg. reward = 0.160
..........AI : 9.437 s, Game : 3.124 s
Episode 279 avg. reward = 0.600, Long-term avg. reward = 0.164
..........AI : 9.876 s, Game : 3.034 s
Episode 280 avg. reward = 0.500, Long-term avg. reward = 0.168
..........AI : 9.840 s, Game : 2.963 s
Episode 281 avg. reward = 0.300, Long-term avg. reward = 0.169
..........AI : 8.179 s, Game : 2.642 s
Episode 282 avg. reward = 0.100, Long-term avg. reward = 0.168
..........AI : 9.019 s, Game : 3.027 s
Episode 283 avg. reward = 0.400, Long-term avg. reward = 0.170
..........AI : 8.678 s, Game : 2.619 s
Episode 284 avg. reward = 0.000, Long-term avg. reward = 0.169
..........AI : 14.133 s, Game : 4.291 s
Episode 285 avg. reward = 1.300, Long-term avg. reward = 0.180
..........AI : 9.718 s, Game : 3.143 s
Episode 286 avg. reward = 0.400, Long-term avg. reward = 0.182
..........AI : 10.028 s, Game : 3.258 s
Episode 287 avg. reward = 0.500, Long-term avg. reward = 0.185
..........AI : 9.585 s, Game : 3.164 s
Episode 288 avg. reward = 0.500, Long-term avg. reward = 0.189
..........AI : 8.830 s, Game : 2.838 s
Episode 289 avg. reward = 0.400, Long-term avg. reward = 0.191
..........AI : 9.196 s, Game : 2.822 s
Episode 290 avg. reward = 0.300, Long-term avg. reward = 0.192
..........AI : 14.042 s, Game : 4.537 s
Episode 291 avg. reward = 1.300, Long-term avg. reward = 0.203
..........AI : 11.912 s, Game : 3.948 s
Episode 292 avg. reward = 1.100, Long-term avg. reward = 0.212
..........AI : 13.792 s, Game : 4.325 s
Episode 293 avg. reward = 1.400, Long-term avg. reward = 0.224
..........AI : 13.317 s, Game : 4.439 s
Episode 294 avg. reward = 1.500, Long-term avg. reward = 0.236
..........AI : 16.445 s, Game : 5.205 s
Episode 295 avg. reward = 1.900, Long-term avg. reward = 0.253
..........AI : 12.801 s, Game : 4.101 s
Episode 296 avg. reward = 1.100, Long-term avg. reward = 0.262
..........AI : 12.538 s, Game : 3.967 s
Episode 297 avg. reward = 1.000, Long-term avg. reward = 0.269
..........AI : 10.707 s, Game : 3.490 s
Episode 298 avg. reward = 0.900, Long-term avg. reward = 0.275
..........AI : 16.368 s, Game : 5.498 s
Episode 299 avg. reward = 1.900, Long-term avg. reward = 0.292
..........AI : 8.047 s, Game : 2.524 s
Episode 300 avg. reward = 0.200, Long-term avg. reward = 0.291
..........AI : 13.723 s, Game : 4.438 s
Episode 301 avg. reward = 1.400, Long-term avg. reward = 0.302
..........AI : 11.576 s, Game : 3.812 s
Episode 302 avg. reward = 1.000, Long-term avg. reward = 0.309
..........AI : 10.158 s, Game : 3.031 s
Episode 303 avg. reward = 0.400, Long-term avg. reward = 0.310
..........AI : 17.643 s, Game : 5.786 s
Episode 304 avg. reward = 2.100, Long-term avg. reward = 0.328
..........AI : 13.070 s, Game : 4.153 s
Episode 305 avg. reward = 1.200, Long-term avg. reward = 0.336
..........AI : 6.153 s, Game : 1.963 s
Episode 306 avg. reward = -0.200, Long-term avg. reward = 0.331
..........AI : 14.346 s, Game : 4.575 s
Episode 307 avg. reward = 1.500, Long-term avg. reward = 0.343
..........AI : 10.851 s, Game : 3.459 s
Episode 308 avg. reward = 0.800, Long-term avg. reward = 0.347
..........AI : 11.946 s, Game : 3.821 s
Episode 309 avg. reward = 1.000, Long-term avg. reward = 0.354
..........AI : 12.812 s, Game : 4.193 s
Episode 310 avg. reward = 1.200, Long-term avg. reward = 0.362
..........AI : 11.015 s, Game : 3.507 s
Episode 311 avg. reward = 0.700, Long-term avg. reward = 0.366
..........AI : 12.214 s, Game : 3.841 s
Episode 312 avg. reward = 0.900, Long-term avg. reward = 0.371
..........AI : 7.101 s, Game : 2.310 s
Episode 313 avg. reward = 0.000, Long-term avg. reward = 0.367
..........AI : 15.331 s, Game : 4.954 s
Episode 314 avg. reward = 1.700, Long-term avg. reward = 0.380
..........AI : 18.615 s, Game : 6.123 s
Episode 315 avg. reward = 2.500, Long-term avg. reward = 0.402
..........AI : 11.527 s, Game : 3.719 s
Episode 316 avg. reward = 0.900, Long-term avg. reward = 0.407
..........AI : 14.020 s, Game : 4.441 s
Episode 317 avg. reward = 1.300, Long-term avg. reward = 0.416
..........AI : 11.764 s, Game : 3.876 s
Episode 318 avg. reward = 0.900, Long-term avg. reward = 0.420
..........AI : 14.562 s, Game : 4.408 s
Episode 319 avg. reward = 1.300, Long-term avg. reward = 0.429
..........AI : 8.198 s, Game : 2.695 s
Episode 320 avg. reward = 0.200, Long-term avg. reward = 0.427
..........AI : 9.048 s, Game : 2.960 s
Episode 321 avg. reward = 0.400, Long-term avg. reward = 0.427
..........AI : 14.832 s, Game : 4.489 s
Episode 322 avg. reward = 1.200, Long-term avg. reward = 0.434
..........AI : 11.233 s, Game : 3.650 s
Episode 323 avg. reward = 0.900, Long-term avg. reward = 0.439
..........AI : 11.008 s, Game : 3.572 s
Episode 324 avg. reward = 0.700, Long-term avg. reward = 0.442
..........AI : 14.554 s, Game : 4.821 s
Episode 325 avg. reward = 1.600, Long-term avg. reward = 0.453
..........AI : 13.184 s, Game : 4.470 s
Episode 326 avg. reward = 1.400, Long-term avg. reward = 0.463
..........AI : 9.518 s, Game : 2.745 s
Episode 327 avg. reward = 0.300, Long-term avg. reward = 0.461
..........AI : 11.664 s, Game : 3.760 s
Episode 328 avg. reward = 0.900, Long-term avg. reward = 0.465
..........AI : 11.023 s, Game : 3.720 s
Episode 329 avg. reward = 0.900, Long-term avg. reward = 0.470
..........AI : 13.396 s, Game : 4.352 s
Episode 330 avg. reward = 1.200, Long-term avg. reward = 0.477
..........AI : 12.218 s, Game : 3.919 s
Episode 331 avg. reward = 1.000, Long-term avg. reward = 0.482
..........AI : 13.014 s, Game : 4.217 s
Episode 332 avg. reward = 1.100, Long-term avg. reward = 0.489
..........AI : 9.920 s, Game : 3.321 s
Episode 333 avg. reward = 0.600, Long-term avg. reward = 0.490
..........AI : 15.627 s, Game : 5.141 s
Episode 334 avg. reward = 1.900, Long-term avg. reward = 0.504
..........AI : 12.180 s, Game : 3.971 s
Episode 335 avg. reward = 1.100, Long-term avg. reward = 0.510
..........AI : 9.705 s, Game : 2.937 s
Episode 336 avg. reward = 0.300, Long-term avg. reward = 0.508
..........AI : 21.032 s, Game : 6.814 s
Episode 337 avg. reward = 2.900, Long-term avg. reward = 0.532
..........AI : 8.718 s, Game : 2.682 s
Episode 338 avg. reward = 0.200, Long-term avg. reward = 0.528
..........AI : 13.244 s, Game : 4.164 s
Episode 339 avg. reward = 1.200, Long-term avg. reward = 0.535
..........AI : 10.896 s, Game : 3.588 s
Episode 340 avg. reward = 0.700, Long-term avg. reward = 0.537
..........AI : 9.523 s, Game : 2.867 s
Episode 341 avg. reward = 0.400, Long-term avg. reward = 0.535
..........AI : 15.124 s, Game : 4.814 s
Episode 342 avg. reward = 1.500, Long-term avg. reward = 0.545
..........AI : 14.098 s, Game : 4.551 s
Episode 343 avg. reward = 1.500, Long-term avg. reward = 0.554
..........AI : 15.997 s, Game : 5.107 s
Episode 344 avg. reward = 1.800, Long-term avg. reward = 0.567
..........AI : 15.519 s, Game : 4.996 s
Episode 345 avg. reward = 1.800, Long-term avg. reward = 0.579
..........AI : 16.664 s, Game : 5.379 s
Episode 346 avg. reward = 2.000, Long-term avg. reward = 0.593
..........AI : 9.547 s, Game : 2.987 s
Episode 347 avg. reward = 0.400, Long-term avg. reward = 0.591
..........AI : 15.424 s, Game : 4.882 s
Episode 348 avg. reward = 1.700, Long-term avg. reward = 0.603
..........AI : 22.144 s, Game : 7.101 s
Episode 349 avg. reward = 3.000, Long-term avg. reward = 0.627
..........AI : 13.249 s, Game : 4.244 s
Episode 350 avg. reward = 1.200, Long-term avg. reward = 0.632
..........AI : 8.337 s, Game : 2.688 s
Episode 351 avg. reward = 0.300, Long-term avg. reward = 0.629
..........AI : 7.598 s, Game : 2.149 s
Episode 352 avg. reward = -0.200, Long-term avg. reward = 0.621
..........AI : 15.038 s, Game : 4.721 s
Episode 353 avg. reward = 1.600, Long-term avg. reward = 0.630
..........AI : 19.296 s, Game : 6.221 s
Episode 354 avg. reward = 2.700, Long-term avg. reward = 0.651
..........AI : 13.956 s, Game : 4.369 s
Episode 355 avg. reward = 1.400, Long-term avg. reward = 0.659
..........AI : 8.663 s, Game : 2.779 s
Episode 356 avg. reward = 0.300, Long-term avg. reward = 0.655
..........AI : 10.018 s, Game : 3.178 s
Episode 357 avg. reward = 0.500, Long-term avg. reward = 0.654
..........AI : 13.034 s, Game : 4.225 s
Episode 358 avg. reward = 1.300, Long-term avg. reward = 0.660
..........AI : 21.410 s, Game : 6.904 s
Episode 359 avg. reward = 3.000, Long-term avg. reward = 0.683
..........AI : 11.096 s, Game : 3.444 s
Episode 360 avg. reward = 0.700, Long-term avg. reward = 0.684
..........AI : 13.097 s, Game : 4.175 s
Episode 361 avg. reward = 1.100, Long-term avg. reward = 0.688
..........AI : 10.913 s, Game : 3.576 s
Episode 362 avg. reward = 0.900, Long-term avg. reward = 0.690
..........AI : 11.165 s, Game : 3.464 s
Episode 363 avg. reward = 0.800, Long-term avg. reward = 0.691
..........AI : 9.692 s, Game : 3.261 s
Episode 364 avg. reward = 0.700, Long-term avg. reward = 0.691
..........AI : 18.014 s, Game : 5.733 s
Episode 365 avg. reward = 2.500, Long-term avg. reward = 0.709
..........AI : 8.861 s, Game : 2.840 s
Episode 366 avg. reward = 0.300, Long-term avg. reward = 0.705
..........AI : 14.403 s, Game : 4.694 s
Episode 367 avg. reward = 1.600, Long-term avg. reward = 0.714
..........AI : 12.766 s, Game : 3.999 s
Episode 368 avg. reward = 1.100, Long-term avg. reward = 0.718
..........AI : 16.194 s, Game : 5.336 s
Episode 369 avg. reward = 2.000, Long-term avg. reward = 0.731
..........AI : 17.482 s, Game : 5.708 s
Episode 370 avg. reward = 2.300, Long-term avg. reward = 0.746
..........AI : 7.847 s, Game : 2.438 s
Episode 371 avg. reward = 0.000, Long-term avg. reward = 0.739
..........AI : 15.170 s, Game : 4.793 s
Episode 372 avg. reward = 1.400, Long-term avg. reward = 0.745
..........AI : 17.993 s, Game : 5.889 s
Episode 373 avg. reward = 2.200, Long-term avg. reward = 0.760
..........AI : 14.926 s, Game : 4.869 s
Episode 374 avg. reward = 1.700, Long-term avg. reward = 0.769
..........AI : 13.185 s, Game : 4.367 s
Episode 375 avg. reward = 1.500, Long-term avg. reward = 0.777
..........AI : 15.772 s, Game : 4.997 s
Episode 376 avg. reward = 1.800, Long-term avg. reward = 0.787
..........AI : 10.346 s, Game : 3.420 s
Episode 377 avg. reward = 0.600, Long-term avg. reward = 0.785
..........AI : 13.977 s, Game : 4.579 s
Episode 378 avg. reward = 1.500, Long-term avg. reward = 0.792
..........AI : 15.995 s, Game : 5.316 s
Episode 379 avg. reward = 2.000, Long-term avg. reward = 0.804
..........AI : 15.364 s, Game : 4.957 s
Episode 380 avg. reward = 1.800, Long-term avg. reward = 0.814
..........AI : 8.014 s, Game : 2.646 s
Episode 381 avg. reward = 0.200, Long-term avg. reward = 0.808
..........AI : 21.919 s, Game : 7.179 s
Episode 382 avg. reward = 3.300, Long-term avg. reward = 0.833
..........AI : 20.166 s, Game : 6.559 s
Episode 383 avg. reward = 2.800, Long-term avg. reward = 0.853
..........AI : 17.853 s, Game : 5.834 s
Episode 384 avg. reward = 2.400, Long-term avg. reward = 0.868
..........AI : 18.923 s, Game : 6.096 s
Episode 385 avg. reward = 2.400, Long-term avg. reward = 0.884
..........AI : 14.159 s, Game : 4.573 s
Episode 386 avg. reward = 1.400, Long-term avg. reward = 0.889
..........AI : 19.837 s, Game : 6.380 s
Episode 387 avg. reward = 2.700, Long-term avg. reward = 0.907
..........AI : 12.272 s, Game : 4.073 s
Episode 388 avg. reward = 1.100, Long-term avg. reward = 0.909
..........AI : 11.364 s, Game : 3.780 s
Episode 389 avg. reward = 0.900, Long-term avg. reward = 0.909
..........AI : 9.488 s, Game : 3.037 s
Episode 390 avg. reward = 0.500, Long-term avg. reward = 0.905
..........AI : 14.478 s, Game : 4.125 s
Episode 391 avg. reward = 1.200, Long-term avg. reward = 0.908
..........AI : 16.329 s, Game : 5.268 s
Episode 392 avg. reward = 1.900, Long-term avg. reward = 0.917
..........AI : 17.811 s, Game : 5.656 s
Episode 393 avg. reward = 2.300, Long-term avg. reward = 0.931
..........AI : 18.871 s, Game : 6.212 s
Episode 394 avg. reward = 2.500, Long-term avg. reward = 0.947
..........AI : 19.447 s, Game : 6.240 s
Episode 395 avg. reward = 2.600, Long-term avg. reward = 0.963
..........AI : 25.247 s, Game : 8.316 s
Episode 396 avg. reward = 4.100, Long-term avg. reward = 0.995
..........AI : 9.361 s, Game : 2.608 s
Episode 397 avg. reward = 0.200, Long-term avg. reward = 0.987
..........AI : 10.644 s, Game : 3.424 s
Episode 398 avg. reward = 0.700, Long-term avg. reward = 0.984
..........AI : 7.593 s, Game : 2.446 s
Episode 399 avg. reward = 0.000, Long-term avg. reward = 0.974
..........AI : 12.088 s, Game : 4.000 s
Episode 400 avg. reward = 1.000, Long-term avg. reward = 0.974
..........AI : 12.519 s, Game : 3.853 s
Episode 401 avg. reward = 1.000, Long-term avg. reward = 0.975
..........AI : 17.769 s, Game : 5.904 s
Episode 402 avg. reward = 2.600, Long-term avg. reward = 0.991
..........AI : 18.324 s, Game : 5.876 s
Episode 403 avg. reward = 2.300, Long-term avg. reward = 1.004
..........AI : 24.307 s, Game : 7.584 s
Episode 404 avg. reward = 3.600, Long-term avg. reward = 1.030
..........AI : 18.116 s, Game : 6.060 s
Episode 405 avg. reward = 2.400, Long-term avg. reward = 1.044
..........AI : 11.042 s, Game : 3.512 s
Episode 406 avg. reward = 0.700, Long-term avg. reward = 1.040
..........AI : 16.684 s, Game : 5.597 s
Episode 407 avg. reward = 2.200, Long-term avg. reward = 1.052
..........AI : 9.994 s, Game : 3.213 s
Episode 408 avg. reward = 0.500, Long-term avg. reward = 1.046
..........AI : 17.800 s, Game : 6.050 s
Episode 409 avg. reward = 2.500, Long-term avg. reward = 1.061
..........AI : 15.907 s, Game : 5.132 s
Episode 410 avg. reward = 2.000, Long-term avg. reward = 1.070
..........AI : 13.066 s, Game : 4.233 s
Episode 411 avg. reward = 1.300, Long-term avg. reward = 1.073
..........AI : 12.770 s, Game : 4.282 s
Episode 412 avg. reward = 1.300, Long-term avg. reward = 1.075
..........AI : 23.104 s, Game : 7.236 s
Episode 413 avg. reward = 3.200, Long-term avg. reward = 1.096
..........AI : 15.621 s, Game : 5.037 s
Episode 414 avg. reward = 1.900, Long-term avg. reward = 1.104
..........AI : 12.528 s, Game : 4.175 s
Episode 415 avg. reward = 1.200, Long-term avg. reward = 1.105
..........AI : 10.332 s, Game : 3.438 s
Episode 416 avg. reward = 0.800, Long-term avg. reward = 1.102
..........AI : 12.740 s, Game : 4.056 s
Episode 417 avg. reward = 1.300, Long-term avg. reward = 1.104
..........AI : 16.592 s, Game : 5.512 s
Episode 418 avg. reward = 2.000, Long-term avg. reward = 1.113
..........AI : 9.134 s, Game : 2.837 s
Episode 419 avg. reward = 0.200, Long-term avg. reward = 1.104
..........AI : 10.580 s, Game : 3.524 s
Episode 420 avg. reward = 0.700, Long-term avg. reward = 1.100
..........AI : 7.087 s, Game : 2.145 s
Episode 421 avg. reward = -0.200, Long-term avg. reward = 1.087
..........AI : 20.256 s, Game : 6.749 s
Episode 422 avg. reward = 3.100, Long-term avg. reward = 1.107
..........AI : 16.361 s, Game : 5.428 s
Episode 423 avg. reward = 2.200, Long-term avg. reward = 1.118
..........AI : 14.045 s, Game : 4.508 s
Episode 424 avg. reward = 1.400, Long-term avg. reward = 1.121
..........AI : 10.647 s, Game : 3.425 s
Episode 425 avg. reward = 0.800, Long-term avg. reward = 1.117
..........AI : 17.726 s, Game : 5.873 s
Episode 426 avg. reward = 2.400, Long-term avg. reward = 1.130
..........AI : 16.940 s, Game : 5.670 s
Episode 427 avg. reward = 2.200, Long-term avg. reward = 1.141
..........AI : 8.688 s, Game : 2.753 s
Episode 428 avg. reward = 0.300, Long-term avg. reward = 1.133
..........AI : 19.986 s, Game : 6.758 s
Episode 429 avg. reward = 2.900, Long-term avg. reward = 1.150
..........AI : 18.560 s, Game : 6.103 s
Episode 430 avg. reward = 2.600, Long-term avg. reward = 1.165
..........AI : 17.242 s, Game : 5.663 s
Episode 431 avg. reward = 2.200, Long-term avg. reward = 1.175
..........AI : 18.264 s, Game : 6.127 s
Episode 432 avg. reward = 2.500, Long-term avg. reward = 1.188
..........AI : 22.608 s, Game : 7.385 s
Episode 433 avg. reward = 3.400, Long-term avg. reward = 1.210
..........AI : 10.227 s, Game : 3.259 s
Episode 434 avg. reward = 0.600, Long-term avg. reward = 1.204
..........AI : 23.057 s, Game : 7.589 s
Episode 435 avg. reward = 3.700, Long-term avg. reward = 1.229
..........AI : 16.780 s, Game : 5.420 s
Episode 436 avg. reward = 2.200, Long-term avg. reward = 1.239
..........AI : 15.619 s, Game : 4.975 s
Episode 437 avg. reward = 1.700, Long-term avg. reward = 1.244
..........AI : 22.525 s, Game : 7.287 s
Episode 438 avg. reward = 3.300, Long-term avg. reward = 1.264
..........AI : 10.228 s, Game : 3.309 s
Episode 439 avg. reward = 0.800, Long-term avg. reward = 1.260
..........AI : 20.959 s, Game : 6.474 s
Episode 440 avg. reward = 2.700, Long-term avg. reward = 1.274
..........AI : 20.239 s, Game : 6.660 s
Episode 441 avg. reward = 2.900, Long-term avg. reward = 1.290
..........AI : 19.907 s, Game : 6.228 s
Episode 442 avg. reward = 2.600, Long-term avg. reward = 1.303
..........AI : 17.025 s, Game : 5.524 s
Episode 443 avg. reward = 2.200, Long-term avg. reward = 1.312
..........AI : 19.880 s, Game : 6.178 s
Episode 444 avg. reward = 2.600, Long-term avg. reward = 1.325
..........AI : 20.208 s, Game : 6.712 s
Episode 445 avg. reward = 3.000, Long-term avg. reward = 1.342
..........AI : 13.590 s, Game : 4.579 s
Episode 446 avg. reward = 1.600, Long-term avg. reward = 1.345
..........AI : 16.843 s, Game : 5.277 s
Episode 447 avg. reward = 1.900, Long-term avg. reward = 1.350
..........AI : 16.175 s, Game : 5.249 s
Episode 448 avg. reward = 2.000, Long-term avg. reward = 1.357
..........AI : 8.792 s, Game : 2.598 s
Episode 449 avg. reward = 0.100, Long-term avg. reward = 1.344
..........AI : 8.828 s, Game : 2.740 s
Episode 450 avg. reward = 0.300, Long-term avg. reward = 1.334
..........AI : 13.384 s, Game : 4.361 s
Episode 451 avg. reward = 1.300, Long-term avg. reward = 1.333
..........AI : 12.188 s, Game : 3.907 s
Episode 452 avg. reward = 1.000, Long-term avg. reward = 1.330
..........AI : 9.715 s, Game : 3.138 s
Episode 453 avg. reward = 0.600, Long-term avg. reward = 1.323
..........AI : 13.508 s, Game : 4.219 s
Episode 454 avg. reward = 1.200, Long-term avg. reward = 1.321
..........AI : 22.370 s, Game : 7.168 s
Episode 455 avg. reward = 3.100, Long-term avg. reward = 1.339
..........AI : 20.664 s, Game : 6.644 s
Episode 456 avg. reward = 2.900, Long-term avg. reward = 1.355
..........AI : 19.773 s, Game : 6.579 s
Episode 457 avg. reward = 2.700, Long-term avg. reward = 1.368
..........AI : 12.746 s, Game : 4.083 s
Episode 458 avg. reward = 1.100, Long-term avg. reward = 1.366
..........AI : 9.669 s, Game : 3.059 s
Episode 459 avg. reward = 0.500, Long-term avg. reward = 1.357
..........AI : 5.999 s, Game : 1.772 s
Episode 460 avg. reward = -0.400, Long-term avg. reward = 1.339
..........AI : 10.082 s, Game : 3.266 s
Episode 461 avg. reward = 0.600, Long-term avg. reward = 1.332
..........AI : 10.293 s, Game : 3.429 s
Episode 462 avg. reward = 0.800, Long-term avg. reward = 1.327
..........AI : 10.257 s, Game : 3.283 s
Episode 463 avg. reward = 0.700, Long-term avg. reward = 1.320
..........AI : 21.327 s, Game : 6.784 s
Episode 464 avg. reward = 3.100, Long-term avg. reward = 1.338
..........AI : 16.069 s, Game : 5.237 s
Episode 465 avg. reward = 1.900, Long-term avg. reward = 1.344
..........AI : 20.155 s, Game : 6.490 s
Episode 466 avg. reward = 2.900, Long-term avg. reward = 1.359
..........AI : 15.595 s, Game : 5.070 s
Episode 467 avg. reward = 1.900, Long-term avg. reward = 1.365
..........AI : 11.656 s, Game : 3.740 s
Episode 468 avg. reward = 0.900, Long-term avg. reward = 1.360
..........AI : 27.469 s, Game : 9.002 s
Episode 469 avg. reward = 4.600, Long-term avg. reward = 1.392
..........AI : 21.570 s, Game : 6.671 s
Episode 470 avg. reward = 3.000, Long-term avg. reward = 1.409
..........AI : 27.683 s, Game : 8.906 s
Episode 471 avg. reward = 4.400, Long-term avg. reward = 1.438
..........AI : 10.492 s, Game : 3.436 s
Episode 472 avg. reward = 0.700, Long-term avg. reward = 1.431
..........AI : 14.985 s, Game : 4.920 s
Episode 473 avg. reward = 1.700, Long-term avg. reward = 1.434
..........AI : 17.695 s, Game : 5.872 s
Episode 474 avg. reward = 2.400, Long-term avg. reward = 1.443
..........AI : 16.262 s, Game : 5.338 s
Episode 475 avg. reward = 2.100, Long-term avg. reward = 1.450
..........AI : 11.191 s, Game : 3.577 s
Episode 476 avg. reward = 0.800, Long-term avg. reward = 1.443
..........AI : 14.207 s, Game : 4.628 s
Episode 477 avg. reward = 1.600, Long-term avg. reward = 1.445
..........AI : 31.047 s, Game : 9.979 s
Episode 478 avg. reward = 5.400, Long-term avg. reward = 1.485
..........AI : 27.871 s, Game : 8.997 s
Episode 479 avg. reward = 4.500, Long-term avg. reward = 1.515
..........AI : 9.021 s, Game : 2.872 s
Episode 480 avg. reward = 0.300, Long-term avg. reward = 1.503
..........AI : 16.386 s, Game : 5.299 s
Episode 481 avg. reward = 1.800, Long-term avg. reward = 1.506
..........AI : 25.205 s, Game : 8.174 s
Episode 482 avg. reward = 3.900, Long-term avg. reward = 1.530
..........AI : 13.547 s, Game : 4.384 s
Episode 483 avg. reward = 1.300, Long-term avg. reward = 1.527
..........AI : 22.102 s, Game : 7.296 s
Episode 484 avg. reward = 3.200, Long-term avg. reward = 1.544
..........AI : 16.158 s, Game : 5.318 s
Episode 485 avg. reward = 2.000, Long-term avg. reward = 1.549
..........AI : 15.921 s, Game : 5.177 s
Episode 486 avg. reward = 1.800, Long-term avg. reward = 1.551
..........AI : 12.774 s, Game : 4.172 s
Episode 487 avg. reward = 1.200, Long-term avg. reward = 1.548
..........AI : 16.160 s, Game : 5.127 s
Episode 488 avg. reward = 1.900, Long-term avg. reward = 1.551
..........AI : 23.812 s, Game : 7.970 s
Episode 489 avg. reward = 3.800, Long-term avg. reward = 1.574
..........AI : 16.201 s, Game : 5.202 s
Episode 490 avg. reward = 1.800, Long-term avg. reward = 1.576
..........AI : 22.845 s, Game : 7.319 s
Episode 491 avg. reward = 3.400, Long-term avg. reward = 1.594
..........AI : 16.615 s, Game : 5.578 s
Episode 492 avg. reward = 2.300, Long-term avg. reward = 1.601
..........AI : 19.338 s, Game : 6.246 s
Episode 493 avg. reward = 2.700, Long-term avg. reward = 1.612
..........AI : 24.958 s, Game : 7.742 s
Episode 494 avg. reward = 3.600, Long-term avg. reward = 1.632
..........AI : 20.770 s, Game : 6.809 s
Episode 495 avg. reward = 2.900, Long-term avg. reward = 1.645
..........AI : 17.094 s, Game : 5.550 s
Episode 496 avg. reward = 2.100, Long-term avg. reward = 1.649
..........AI : 12.057 s, Game : 3.787 s
Episode 497 avg. reward = 0.900, Long-term avg. reward = 1.642
..........AI : 18.882 s, Game : 6.220 s
Episode 498 avg. reward = 2.800, Long-term avg. reward = 1.653
..........AI : 9.874 s, Game : 3.025 s
Episode 499 avg. reward = 0.400, Long-term avg. reward = 1.641
..........AI : 11.308 s, Game : 3.674 s
Episode 500 avg. reward = 0.900, Long-term avg. reward = 1.633
..........AI : 13.138 s, Game : 4.150 s
Episode 501 avg. reward = 1.200, Long-term avg. reward = 1.629
..........AI : 18.199 s, Game : 5.941 s
Episode 502 avg. reward = 2.300, Long-term avg. reward = 1.636
..........AI : 18.165 s, Game : 5.911 s
Episode 503 avg. reward = 2.400, Long-term avg. reward = 1.643
..........AI : 24.073 s, Game : 7.932 s
Episode 504 avg. reward = 3.800, Long-term avg. reward = 1.665
..........AI : 15.757 s, Game : 5.025 s
Episode 505 avg. reward = 2.000, Long-term avg. reward = 1.668
..........AI : 11.677 s, Game : 3.729 s
Episode 506 avg. reward = 0.800, Long-term avg. reward = 1.660
..........AI : 11.071 s, Game : 3.638 s
Episode 507 avg. reward = 0.800, Long-term avg. reward = 1.651
..........AI : 19.766 s, Game : 6.430 s
Episode 508 avg. reward = 2.900, Long-term avg. reward = 1.664
..........AI : 12.008 s, Game : 3.844 s
Episode 509 avg. reward = 0.800, Long-term avg. reward = 1.655
..........AI : 14.938 s, Game : 4.724 s
Episode 510 avg. reward = 1.600, Long-term avg. reward = 1.654
..........AI : 36.629 s, Game : 12.180 s
Episode 511 avg. reward = 6.600, Long-term avg. reward = 1.704
..........AI : 18.653 s, Game : 6.051 s
Episode 512 avg. reward = 2.700, Long-term avg. reward = 1.714
..........AI : 23.433 s, Game : 7.470 s
Episode 513 avg. reward = 3.500, Long-term avg. reward = 1.732
..........AI : 13.503 s, Game : 4.370 s
Episode 514 avg. reward = 1.400, Long-term avg. reward = 1.728
..........AI : 15.938 s, Game : 5.153 s
Episode 515 avg. reward = 1.900, Long-term avg. reward = 1.730
..........AI : 19.965 s, Game : 6.503 s
Episode 516 avg. reward = 2.800, Long-term avg. reward = 1.741
..........AI : 21.500 s, Game : 6.987 s
Episode 517 avg. reward = 3.100, Long-term avg. reward = 1.754
..........AI : 29.830 s, Game : 9.908 s
Episode 518 avg. reward = 5.100, Long-term avg. reward = 1.788
