..........AI : 5.736 s, Game : 1.104 s
Episode 001 avg. reward = -0.900, Long-term avg. reward = -0.900
..........AI : 4.674 s, Game : 1.168 s
Episode 002 avg. reward = -0.700, Long-term avg. reward = -0.898
..........AI : 3.773 s, Game : 1.014 s
Episode 003 avg. reward = -0.900, Long-term avg. reward = -0.898
..........AI : 4.037 s, Game : 1.032 s
Episode 004 avg. reward = -1.000, Long-term avg. reward = -0.899
..........AI : 4.135 s, Game : 1.139 s
Episode 005 avg. reward = -0.900, Long-term avg. reward = -0.899
..........AI : 4.627 s, Game : 1.190 s
Episode 006 avg. reward = -0.800, Long-term avg. reward = -0.898
..........AI : 3.558 s, Game : 0.980 s
Episode 007 avg. reward = -1.000, Long-term avg. reward = -0.899
..........AI : 4.850 s, Game : 1.494 s
Episode 008 avg. reward = -0.800, Long-term avg. reward = -0.898
..........AI : 4.858 s, Game : 1.594 s
Episode 009 avg. reward = -0.800, Long-term avg. reward = -0.897
..........AI : 5.728 s, Game : 1.925 s
Episode 010 avg. reward = -0.600, Long-term avg. reward = -0.894
..........AI : 3.969 s, Game : 1.264 s
Episode 011 avg. reward = -0.800, Long-term avg. reward = -0.893
..........AI : 4.468 s, Game : 1.572 s
Episode 012 avg. reward = -1.000, Long-term avg. reward = -0.894
..........AI : 3.312 s, Game : 0.936 s
Episode 013 avg. reward = -0.900, Long-term avg. reward = -0.894
..........AI : 2.961 s, Game : 0.837 s
Episode 014 avg. reward = -1.000, Long-term avg. reward = -0.895
..........AI : 3.716 s, Game : 1.161 s
Episode 015 avg. reward = -1.000, Long-term avg. reward = -0.896
..........AI : 2.783 s, Game : 0.746 s
Episode 016 avg. reward = -1.000, Long-term avg. reward = -0.897
..........AI : 3.251 s, Game : 1.025 s
Episode 017 avg. reward = -1.000, Long-term avg. reward = -0.898
..........AI : 3.035 s, Game : 0.831 s
Episode 018 avg. reward = -1.000, Long-term avg. reward = -0.899
..........AI : 3.681 s, Game : 1.127 s
Episode 019 avg. reward = -1.000, Long-term avg. reward = -0.901
..........AI : 2.746 s, Game : 0.826 s
Episode 020 avg. reward = -1.000, Long-term avg. reward = -0.901
..........AI : 3.557 s, Game : 1.135 s
Episode 021 avg. reward = -0.900, Long-term avg. reward = -0.901
..........AI : 4.437 s, Game : 1.498 s
Episode 022 avg. reward = -0.900, Long-term avg. reward = -0.901
..........AI : 5.011 s, Game : 1.651 s
Episode 023 avg. reward = -0.600, Long-term avg. reward = -0.898
..........AI : 5.186 s, Game : 1.831 s
Episode 024 avg. reward = -0.600, Long-term avg. reward = -0.895
..........AI : 3.104 s, Game : 0.905 s
Episode 025 avg. reward = -0.900, Long-term avg. reward = -0.896
..........AI : 3.046 s, Game : 0.848 s
Episode 026 avg. reward = -0.800, Long-term avg. reward = -0.895
..........AI : 4.664 s, Game : 1.552 s
Episode 027 avg. reward = -0.700, Long-term avg. reward = -0.893
..........AI : 5.240 s, Game : 1.808 s
Episode 028 avg. reward = -0.700, Long-term avg. reward = -0.891
..........AI : 4.448 s, Game : 1.462 s
Episode 029 avg. reward = -0.700, Long-term avg. reward = -0.889
..........AI : 4.365 s, Game : 1.408 s
Episode 030 avg. reward = -0.900, Long-term avg. reward = -0.889
..........AI : 4.376 s, Game : 1.483 s
Episode 031 avg. reward = -0.900, Long-term avg. reward = -0.889
..........AI : 2.811 s, Game : 0.763 s
Episode 032 avg. reward = -0.900, Long-term avg. reward = -0.889
